50,"when the party's over","Billie Eilish",488541,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
51,lovely,"Billie Eilish",481499,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
52,Moonlight,XXXTENTACION,480283,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
53,"Bad Girls (feat. Gucci Mane)","Lil Skies",471516,https://open.spotify.com/track/0hCHNYL8ApQCGNwJrYN1FY
54,"Space Cadet (feat. Gunna)","Metro Boomin",465340,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
55,"bad idea","Ariana Grande",459688,https://open.spotify.com/track/7EQpvVujgytLVY8vKiDHAg
56,"Last Hurrah","Bebe Rexha",451991,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy
57,"Girls Need Love ,"Summer Walker",450418,https://open.spotify.com/track/0mfCH4nfpshBQR9ueZP5eP
58,bloodline,"Ariana Grande",450167,https://open.spotify.com/track/2hloaUoRonYssMuqLCBLTX
59,"Whip (feat. Travis Scott)","2 Chainz",441053,https://open.spotify.com/track/6Z4rmc0uujCpl8yXe3yjgI
60,imagine,"Ariana Grande",435382,https://open.spotify.com/track/39LmTF9RgyakzSYX8txrow
61,"High Hopes","Panic! At The Disco",432627,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
62,"Bohemian Rhapsody - 2011 Mix",Queen,430744,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
63,"Who Do You Love","The Chainsmokers",428029,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8
64,"Pure Cocaine","Lil Baby",427131,https://open.spotify.com/track/577YBGuskWkVDCxZrLRB4v
65,"Let Me Down Slowly","Alec Benjamin",421708,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
66,"Calling My Spirit","Kodak Black",414530,https://open.spotify.com/track/2MShy1GSSgbmGUxADNIao5
67,"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie",410991,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
68,"rockstar (feat. 21 Savage)","Post Malone",409897,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
69,"Faucet Failure","Ski Mask The Slump God",407941,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
70,"MIA (feat. Drake)","Bad Bunny",401924,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
71,Nonstop,Drake,400911,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
72,"Taste (feat. Offset)",Tyga,400418,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
73,"Sweet but Psycho","Ava Max",399627,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
74,"Jocelyn Flores",XXXTENTACION,399566,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
75,"Thotiana",Blueface,394088,https://open.spotify.com/track/1JkrD47SDpAbyvqKtolcea
76,"Con Calma","Daddy Yankee",393161,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
77,"fake smile","Ariana Grande",391757,https://open.spotify.com/track/3wFLWP0FcIqHK1wb1CPthQ
78,idontwannabeyouanymore,"Billie Eilish",383976,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
79,"All Girls Are The Same","Juice WRLD",381298,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
80,"Old Town Road","Lil Nas X",379103,https://open.spotify.com/track/2pMl9Sx4glsuk5ikZtFBtX
81,"I Fall Apart","Post Malone",377879,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
82,"Be Alright","Dean Lewis",377524,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
83,"Yes Indeed","Lil Baby",375230,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
84,"Almost (Sweet Music)",Hozier,373544,https://open.spotify.com/track/5Apvsk0suoivI1H8CmBglv
85,"I Like It","Cardi B",370805,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
86,Noticed,"Lil Mosey",366179,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
87,"Ric Flair Drip (& Metro Boomin)",Offset,364542,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
88,"Rule The World (feat. Ariana Grande)","2 Chainz",356410,https://open.spotify.com/track/1R6VwZ8TuHRzxZUxe88n4I
89,"Psycho (feat. Ty Dolla $ign)","Post Malone",355778,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
90,ghostin,"Ariana Grande",347964,https://open.spotify.com/track/4lD7gHKF1e8Y9stQuVezZB
91,"Keanu Reeves",Logic,346747,https://open.spotify.com/track/25F6MWrnFBCXVnpN4n76EK
92,"Don't Call Me Up",Mabel,346081,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
93,"Taki Taki","DJ Snake",344366,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
94,"Nuketown (feat. Juice WRLD)","Ski Mask The Slump God",343800,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9
95,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,342384,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
96,Youngblood,"5 Seconds of Summer",341398,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
97,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",337618,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
98,Secreto,"Anuel AA",334289,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
99,"Best Part (feat. Daniel Caesar)",H.E.R.,328674,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
100,"Don't Stop Me Now - 2011 Mix",Queen,326047,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
101,bellyache,"Billie Eilish",325411,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
102,"Roses (with Juice WRLD feat. Brendon Urie)","benny blanco",324892,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
103,"11 Minutes (with Halsey feat. Travis Barker)",YUNGBLUD,324057,https://open.spotify.com/track/4mGdjNMo0RonTlOEb7cYg4
104,"ocean eyes","Billie Eilish",322603,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
105,"Look Alive (feat. Drake)","BlocBoy JB",321623,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
106,"I Like Me Better",Lauv,320489,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
107,Almeda,Solange,317223,https://open.spotify.com/track/6IAgarq2wDeYzpsY2Kx0Hw
108,"10 Freaky Girls (with 21 Savage)","Metro Boomin",316406,https://open.spotify.com/track/0AluA5RNsa4Cx6XRhf2hWZ
109,"God's Plan",Drake,312398,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
110,"This Feeling","The Chainsmokers",311612,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
111,"in my head","Ariana Grande",310904,https://open.spotify.com/track/4T652DlATVHe0jdLKaN3Bw
112,"Lean Wit Me","Juice WRLD",309832,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa
113,"Fine China",Future,309546,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
114,"Bleed It",Blueface,307262,https://open.spotify.com/track/67fNrBUMc7iWMofdCaoJV9
115,"Beautiful (feat. Camila Cabello)",Bazzi,305613,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
116,"Baila Baila Baila",Ozuna,305407,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
117,changes,XXXTENTACION,305398,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
118,"SLOW DANCING IN THE DARK",Joji,303694,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
119,"XO Tour Llif3","Lil Uzi Vert",300628,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
120,YOSEMITE,"Travis Scott",299741,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
121,Congratulations,"Post Malone",295396,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
122,"No Stylist","French Montana",294214,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
123,"Nowadays Pt. 2 (feat. Landon Cube)","Lil Skies",293733,https://open.spotify.com/track/0Goo25lbtpwor5vb0K2r21
124,"No Role Modelz","J. Cole",292488,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
125,Tequila,"Dan + Shay",286096,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
126,"no tears left to cry","Ariana Grande",285645,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
127,"Speed It Up",Gunna,285335,https://open.spotify.com/track/6PfI6EeLNiNGVAVg11nv7D
128,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",284584,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
129,goosebumps,"Travis Scott",282965,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
130,"Beautiful Crazy","Luke Combs",281815,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
131,"whoa (mind in awe)",XXXTENTACION,278043,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
132,"Lost In Japan","Shawn Mendes",274548,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
133,"Young Dumb & Broke",Khalid,273394,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
134,"Stop the Madness (feat. Gunna)","Lil Skies",271781,https://open.spotify.com/track/6PXhPHhZy1MpxuTNA1Ad4L
135,"Girls Like You (feat. Cardi B)","Maroon 5",268317,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
136,Speechless,"Dan + Shay",267538,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
137,"Look What God Gave Her","Thomas Rhett",266439,https://open.spotify.com/track/1HY7Ze0NWqDJkl4g4MV62Q
138,"Project Dreams",Marshmello,265943,https://open.spotify.com/track/6GSkLS2y4ZnnZsuRAj975K
139,"Hide (feat. Seezyn)","Juice WRLD",265678,https://open.spotify.com/track/0dWYd84A57fPNoxv8OFwCD
140,BAD!,XXXTENTACION,264760,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
141,"make up","Ariana Grande",263500,https://open.spotify.com/track/27356GVuMPFWiJSZCragoM
142,HUMBLE.,"Kendrick Lamar",263200,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
143,"Another One Bites The Dust - Remastered 2011",Queen,262650,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
144,"Love Lies (with Normani)",Khalid,262140,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
145,KIKA,6ix9ine,261056,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
146,"Momma I Hit A Lick (feat. Kendrick Lamar)","2 Chainz",260388,https://open.spotify.com/track/7jKUnzzOGhAlPjr7LkIUlE
147,"First Off (feat. Travis Scott)",Future,260015,https://open.spotify.com/track/3WRIaWsws011vHMd9uzPjG
148,Location,Khalid,259664,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
149,"Lucky You (feat. Joyner Lucas)",Eminem,258917,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
150,"Always Remember Us This Way","Lady Gaga",258277,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
151,"Falling Down - Bonus Track","Lil Peep",257534,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
152,"Never Recover","Lil Baby",257384,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ
153,"Demons and Angels (feat. Juice WRLD)","A Boogie Wit da Hoodie",256549,https://open.spotify.com/track/3L19besdNQzd342qL78xqm
154,Breathe,"Lil Skies",256461,https://open.spotify.com/track/6NGeKy2lLt86dxDjJAtBFk
155,Mine,Bazzi,256155,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
156,"Everybody Dies In Their Nightmares",XXXTENTACION,256049,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
157,Topanga,"Trippie Redd",254152,https://open.spotify.com/track/5aXgz1oKK8Q9z9xvTmSnrO
158,FEFE,6ix9ine,253686,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK
159,"Nice For What",Drake,253237,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
160,"Calma - Remix","Pedro Capó",253009,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
161,Kamikaze,"Lil Mosey",252589,https://open.spotify.com/track/1iPBD72u3nAyFEeardYuBV
162,"BIG BANK",YG,252050,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
163,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,251411,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
164,"Name in the Sand","Lil Skies",251195,https://open.spotify.com/track/11p2ty4w5GpoFL4vcK0Cru
165,"Worth It","YK Osiris",250956,https://open.spotify.com/track/4XiGKQqbmnMVxDzUj6j3f2
166,"Plug Walk","Rich The Kid",249997,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6
167,"Act Up","City Girls",249749,https://open.spotify.com/track/4eIT2gZ0WZyJpgfmoD6saJ
168,Flooded,"Lil Skies",249371,https://open.spotify.com/track/6Ur6u4Ici7NYBiuGEEkNMP
169,monster,"21 Savage",249168,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
170,"In My Feelings",Drake,247660,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
171,"Walk Me Home",P!nk,246949,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE
172,"TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix","Tory Lanez",246867,https://open.spotify.com/track/51w9Jbat1pLeWINGCpnQUR
173,Sauce!,XXXTENTACION,246529,https://open.spotify.com/track/3jq1RpStaB1YGyN3rRZGca
174,"The Middle",Zedd,245976,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
175,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",245796,https://open.spotify.com/track/1a7WZZZH7LzyvorhpOJFTe
176,Lust,"Lil Skies",244817,https://open.spotify.com/track/7oJrVhiTPZGBXWPwhxjy9S
177,"1400 / 999 Freestyle","Trippie Redd",242568,https://open.spotify.com/track/75lcPkAkUsKWHGBlGM476R
178,"Slime Belief","YoungBoy Never Broke Again",241341,https://open.spotify.com/track/2qGfZAgDe1pV2y5xJAhi6R
179,"Nowadays (feat. Landon Cube)","Lil Skies",240863,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
180,"What A Time (feat. Niall Horan)","Julia Michaels",237716,https://open.spotify.com/track/5WtfUKzXircvW8l5aaVZWT
181,"Candy Paint","Post Malone",237571,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
182,"Giant (with Rag'n'Bone Man)","Calvin Harris",236329,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
183,"Say You Won't Let Go","James Arthur",236103,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
184,"Close Friends (Lil Baby & Gunna)","Lil Baby",235404,https://open.spotify.com/track/5nzhL67GpF9szXWg5y509A
185,"my boy","Billie Eilish",234672,https://open.spotify.com/track/0FQhAHyHGsrbSHvDURmFPn
186,"Blue Strips","Lil Skies",234335,https://open.spotify.com/track/0AKwYorDdgm3NtusTmPlkn
187,"4 Phones","Rich The Kid",233788,https://open.spotify.com/track/5qu3j7Ou6LyQFSU9N7Sb5x
188,Walk,Comethazine,233068,https://open.spotify.com/track/21kOVEG3bDCVphKhXL8XmQ
189,"you should see me in a crown","Billie Eilish",232238,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2
190,"Ruin My Life","Zara Larsson",231020,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
191,"Be Like Me (feat. Lil Wayne)","Lil Pump",230244,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ
192,"Big Plans","Why Don't We",230230,https://open.spotify.com/track/6Yx181fZzA0YE2EkUsYruq
193,CROWN,"TOMORROW X TOGETHER",229989,https://open.spotify.com/track/32h6yQGn4oAhZ0HRsTMX26
194,Trip,"Ella Mai",229315,https://open.spotify.com/track/6CTWathupIiDs7U4InHnDA
195,"Twerk (feat. Cardi B)","City Girls",228847,https://open.spotify.com/track/4DyBx5MYoq8RsU33cEAIxT
196,"High Top Versace (feat. Young Thug)","2 Chainz",228717,https://open.spotify.com/track/40wyhIkaVvuZUAbAiTOkHI
197,"How Did I Get Here (feat. J. Cole)",Offset,227740,https://open.spotify.com/track/32iPykTXUNZ9oGyACGUybq
198,"West Coast",G-Eazy,226847,https://open.spotify.com/track/2O8gSQ9z52tZSLJnuzjkcG
199,"I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)","Lil Peep",225746,https://open.spotify.com/track/2v5JTeM6hSmi5wWy7jiwrI
200,"Black & White","Juice WRLD",225652,https://open.spotify.com/track/1fCeXjoRExPP2qwSBh2aST
